"who said no one can make you feel inferior","","The quote ""No one can make you feel inferior without your consent"" is often attributed to Eleanor Roosevelt  the wife of U.S. President Franklin D. Roosevelt.  This quote appears in her book ""You Learn by Living: Eleven Keys for a More Fulfilling Life""  which was published in 1960."
"who sings monk theme song","","You're referring to the iconic theme song from the classic TV show ""The Andy Griffith Show""  featuring Sheriff Andy Taylor's trusty sidekick  Barney Fife (played by Don Knotts)?  The theme song  titled ""The Fishin' Hole""  was written by Earle Hagen and Herbert W. Spencer  and it's performed by jazz musician Fontana. Fontana was the original vocalist who recorded the song in 1960  just before the show's premiere.  The song has since become synonymous with nostalgia and classic American sitcoms  and it's still widely recognized and enjoyed today!"
"who was the highest career passer  rating in the nfl","","The highest career passer rating in the NFL is held by Aaron Rodgers  who has a career passer rating of 104.9. Rodgers has played for the Green Bay Packers since 2008 and has held the top spot in passer rating for most of his career. He has been a four-time NFL MVP and has led the Packers to a Super Bowl championship in 2011.  Here are the top 5 highest career passer ratings in the NFL:  1. Aaron Rodgers - 104.9 2. Drew Brees - 97.8 3. Tom Brady - 97.6 4. Peyton Manning - 96.5 5. Dan Marino - 96.3  Note: Passer rating is a statistical measure that takes into account a quarterback's performance in the following categories: completion percentage  yards per attempt  touchdowns  and interceptions. The formula is complex and involves a weighted average of these categories."
"why do hunters pattern their shotguns?","","Hunters pattern their shotguns  also known as shotgun patterning  to determine the shotgun's effective range and distribution of shot pellets. The process involves firing the shotgun at a target  such as a cardboard or paper box  at various distances to see how the shot spread and patterns.  There are several reasons why hunters pattern their shotguns:  1. **Determining effective range**: By patterning their shotgun  hunters can determine the maximum effective range at which the shotgun can accurately hit their target. This is essential for taking humane and effective shots on game. 2. **Understanding shot distribution**: Patterning helps hunters understand how the shot pellets are distributed within the spread. This information is crucial for adjusting shot size  choke constriction  and shooting technique to maximize their chances of hitting their target. 3. **Choosing the right ammunition**: Patterning allows hunters to evaluate the performance of different shotshell loads  including those with varying shot sizes  densities  and payloads. This helps them choose the best ammunition for their specific hunting needs. 4. **Optimizing shooting technique**: By analyzing the pattern  hunters can identify areas where they need to improve their shooting technique  such as adjusting their stance  grip  or follow-through. 5. **Chronicleing performance**: Patterning provides a record of a shotgun's performance over time  allowing hunters to track any changes or degradation in the shotgun's pattern due to wear  maintenance  or environmental factors.  To pattern a shotgun  hunters typically set up a target at a known distance (usually 16  20  or 24 yards) and fire a single shotshell. They then measure the diameter of the pattern using a ruler or pattern board  which helps them calculate the effective range and shot distribution."
"why is pete rose banned from hall of fame","","Pete Rose was banned from Major League Baseball (MLB) and ineligible for the National Baseball Hall of Fame in 1985 due to his involvement in a betting scandal. Here's a brief summary of the events that led to his ban:  * In 1985  Rose was accused by syndicated columnist Murphy Smith of having bet on baseball games  including those involving his own teams  while he was a player or coach. Rose initially denied the allegations  but eventually acknowledged that he had bet on his own team  the Cincinnati Reds  as a player in the early 1980s. * MLB Commissioner A. Bartlett Gammage conducted an investigation and found that Rose had bet on 52 games  including 20 Reds games  between 1984 and 1985. Rose was suspended from baseball for 30 days and fined $50 000. * In 1987  Rose's denial of betting on baseball games during his playing career was contradicted by his former friend and confidant  Bob Fenwick  who claimed that Rose had confided in him about his betting activities. * In 1990  MLB Commissioner Fay Vincent  who had taken over from Gammage  conducted a further investigation into Rose's activities. Vincent found that Rose had bet on baseball games consistently throughout his career  including during his playing days  and that he had lied about it on multiple occasions. * On August 24  1991  Vincent issued a statement announcing that Rose was permanently banned from baseball and ineligible for the Hall of Fame. Rose's ban was officially sanctioned by MLB and the Hall of Fame  and he has remained banned to this day.  The Hall of Fame's charter states that any player who is ""not of good character"" is ineligible for induction. The vote to ban Rose from the Hall of Fame was unanimous  with the Hall of Fame's Board of Directors making the decision through a formal vote.  Pete Rose has continued to appeal his ban and express his desire to be reinstated and inducted into the Hall of Fame. In 2015  he applied for reinstatement  but was denied by Commissioner Rob Manfred."
"who is thomas m cooley","","Thomas McIntyre Cooley was an American educator  lawyer  and judge who played a significant role in shaping the American system of higher education and legal education. He is widely regarded as one of the most important figures in the history of American education and the judiciary.  Life and Career:  Thomas M. Cooley was born on December 6  1824  in Aurora  New York. He received his undergraduate degree from Yale University in 1844 and went on to study law at Yale Law School  where he earned his LL.B. degree in 1847. Cooley then moved to Michigan  where he practiced law and became involved in politics. In 1852  he was elected as a Republican to the Michigan State Senate  serving two terms.  Academic Career:  In 1856  Cooley became the President of the University of Michigan  a position he held until 1868. During his tenure  he played a crucial role in transforming the university into a leading institution of higher education. He established the University of Michigan Law School  which became one of the premier law schools in the country. Cooley also oversaw the construction of new buildings  including the iconic University Library  and began the process of centralizing the administration of the university.  Legal Career:  In addition to his academic career  Cooley was a prominent lawyer and jurist. He served on the Michigan Supreme Court from 1864 to 1885  earning a reputation as a leading expert in constitutional law. His opinions on issues such as the doctrine of strict construction and the limitations of state power helped to shape the development of American constitutional law.  Legacy:  Thomas M. Cooley's legacy extends far beyond his individual contributions to education and the judiciary. He played a significant role in shaping the broader American system of higher education  and his influence can still be seen in many of the country's top law schools. His commitment to academic excellence  his vision for a strong system of higher education  and his dedication to public service have left a lasting impact on American education and the judiciary.  Namesakes:  Thomas M. Cooley's legacy can be seen in several institutions and organizations that bear his name  including:  1. Cooley Law School: A private law school in East Lansing  Michigan  that was named in his honor. 2. Cooley College of Business: A business school at Saginaw Valley State University in University Center  Michigan  that was named in his honor. 3. Thomas M. Cooley Award: An award given annually by the American Bar Association to recognize outstanding contributions to the advancement of the rule of law. 4. Cooley Hall: A residence hall at the University of Michigan that was named in his honor.  Overall  Thomas M. Cooley was a towering figure in American education and the judiciary  and his legacy continues to shape the country's system of higher education and legal education."
"define: geon","","I apologize  but I couldn't find any information on what a ""geon"" is. It's possible that it's a made-up or obscure term  or it could be a misspelling or variant of a different word.  If you meant to ask about a ""gon""  I can try to help you with that. A ""gon"" is a suffix used in the names of Greek geometrical terms  such as trigon (three angles)  tetragon (four sides)  hexagon (six sides)  and polygon (many sides).  If you could provide more context or information about what you mean by ""geon""  I'll do my best to help you."
"what temperature and humidity to dry sausage","","The ideal temperature and humidity for drying sausage depend on the type of sausage and the level of dryness desired. Here are some general guidelines for drying sausages:  **Temperature:**  * For most sausages  a temperature of 68°F to 72°F (20°C to 22°C) is recommended. This temperature range allows for slow and even drying. * For artisanal sausages  a temperature of 60°F to 65°F (15°C to 18°C) is often used to promote a more complex flavor profile. * For extremely dry sausages  such as Italian dry salami  a temperature of 75°F to 80°F (24°C to 27°C) may be used.  **Humidity:**  * For most sausages  a relative humidity of 60% to 70% is recommended. This humidity range allows for slow and even drying while preventing the growth of mold and bacteria. * For sausages with a higher water content  such as summer sausage  a slightly higher humidity of 70% to 80% may be used to prevent drying out. * For extremely dry sausages  a relative humidity of 50% to 60% may be used to promote drying.  **Additional considerations:**  * Air circulation: Good air circulation is essential for drying sausages. Aim for a minimum of 1-2 cm/s (0.4-0.8 in/s) of air movement around the sausages. * Sausage size and shape: Larger sausages may require a slower drying process than smaller ones. Also  sausages with a larger surface area may require a more humid environment to prevent drying out. * Type of sausage: Different types of sausages have different drying requirements. For example  sausages with a higher fat content  such as knockwurst  may require a slower drying process than sausages with a lower fat content  such as Chorizo.  **Examples of specific sausages and their drying requirements:**  * Italian dry salami: 75°F to 80°F (24°C to 27°C)  50% to 60% humidity * Summer sausage: 70°F to 75°F (21°C to 24°C)  70% to 80% humidity * Chorizo: 68°F to 72°F (20°C to 22°C)  60% to 70% humidity  Remember that these are general guidelines  and the specific drying requirements for your sausage may vary depending on the recipe  ingredients  and desired level of dryness. Always follow proper food safety guidelines and monitor the sausages closely during the drying process."
"what medium do radio waves travel through","","Radio waves  which are a type of electromagnetic radiation  can travel through a variety of media  including:  1. **Free space**: Radio waves can travel through the vacuum of space  allowing us to communicate with spacecraft and satellites. 2. **Air**: Radio waves can travel long distances through the air  which is why we can listen to AM/FM radio stations broadcasting from far away. 3. **Water**: Radio waves can also travel through seawater  which is why underwater communication systems  such as sonar  use radio waves. 4. **Soil**: Radio waves can travel through dry soil  but their absorption and scattering by the soil particles can limit their range. 5. **Metal**: Radio waves can travel through thin metal wires and tubes  which is why we use copper wires to connect electronic devices. 6. **Dielectric materials**: Radio waves can also travel through dielectric materials  such as plastics  ceramics  and glass  which have low conductivity. 7. **Cables**: Radio waves can be transmitted through electric cables  such as coaxial cables  which are designed to carry high-frequency signals.  However  radio waves do not travel well through certain materials  including:  1. **Metal**: Thick metal plates and walls can absorb or block radio waves  which is why radio signals may not penetrate through solid metal objects. 2. **Highly conductive materials**: Radio waves are absorbed by highly conductive materials  such as copper  silver  and aluminum  which can heat up and dissipate the energy. 3. **High-loss materials**: Some materials  like rubber and wood  can absorb a significant amount of radio wave energy  reducing the signal strength and quality.  It's worth noting that the frequency and wavelength of the radio wave also play a crucial role in determining its ability to travel through different media."
"what is reba mcentire's net worth","","According to Forbes  Reba McEntire's net worth is estimated to be around $450 million. She has accumulated this wealth through her successful music career  various business ventures  and endorsement deals.  Here are some factors that contribute to her net worth:  1. Music sales: Reba McEntire has sold over 85 million albums worldwide  making her one of the best-selling country artists of all time. She has had numerous chart-topping albums and singles  including ""Is There Life Out There "" ""Fancy "" and ""Does He Love You."" 2. Touring: Reba McEntire has been touring for decades  performing to sold-out crowds and generating significant revenue from ticket sales. 3. Endorsement deals: She has partnered with several brands  including Procter & Gamble's Tide laundry detergent  where she has appeared in numerous commercials. 4. Business ventures: Reba McEntire co-owns the production companyReba Productions  which has produced several TV shows  including her own sitcom ""Reba"" (2001-2007). 5. Real estate: She owns several properties  including a ranch in Oklahoma and a house in Los Angeles. 6. Merchandising: Reba McEntire sells merchandise  such as t-shirts  hats  and other items  through her website and at her concerts. 7. Licensing: Her music and likeness are licensed for use in various media  including films  TV shows  and commercials.  It's worth noting that Reba McEntire's net worth is likely to continue growing as she remains a popular artist  entrepreneur  and philanthropist."
